step,video,reference,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,CrowdRun_25fps_scaled_0RP.mp4,3.84,
11,CrowdRun_25fps_scaled_1RP.mp4,1.73,
12,ElFuente1_30fps_scaled_0RP.mp4,4.24,
13,ElFuente1_30fps_scaled_1RP.mp4,2.4,
14,CrowdRun_25fps_scaled_0RP.mp4,4.29,-0.45
15,CrowdRun_25fps_scaled_1RP.mp4,1.84,2
16,CrowdRun_25fps_scaled_2RP.mp4,2.44,1.4
17,CrowdRun_25fps_scaled_3RP.mp4,3.21,0.63
18,CrowdRun_25fps_scaled_4RP.mp4,3.55,0.29
19,CrowdRun_25fps_scaled_3RP.mp4,3.23,0.61
20,CrowdRun_25fps_scaled_4RP.mp4,3.59,0.25
21,ElFuente1_30fps_scaled_0RP.mp4,4.31,-0.07
22,ElFuente1_30fps_scaled_1RP.mp4,2.29,1.95
23,ElFuente1_30fps_scaled_2RP.mp4,3.53,0.71
24,ElFuente1_30fps_scaled_3RP.mp4,4,0.24
25,ElFuente1_30fps_scaled_4RP.mp4,4.28,-0.04
26,ElFuente1_30fps_scaled_1RP.mp4,2.48,1.76
27,ElFuente1_30fps_scaled_2RP.mp4,3.49,0.75
