step,video,reference,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,colour_boats_30fps_scaled_0RP_P1_black.mp4,4.38,
11,colour_boats_30fps_scaled_1RP_P1_black.mp4,3.38,
12,cow_30fps_scaled_0RP_black.mp4,4.19,
13,cow_30fps_scaled_1RP_black.mp4,3.05,
14,colour_boats_30fps_scaled_0RP_P1_black.mp4,4.36,0.01
15,colour_boats_30fps_scaled_1RP_P1_black.mp4,3.3,1.08
16,colour_boats_30fps_scaled_2RP_P1_black.mp4,3.97,0.4
17,colour_boats_30fps_scaled_3RP_P1_black.mp4,4.23,0.14
18,colour_boats_30fps_scaled_4RP_P1_black.mp4,4.27,0.1
19,colour_boats_30fps_scaled_3RP_P1_black.mp4,4.17,0.21
20,colour_boats_30fps_scaled_4RP_P1_black.mp4,4.27,0.1
21,cow_30fps_scaled_0RP_black.mp4,4.21,-0.01
22,cow_30fps_scaled_1RP_black.mp4,3.05,1.14
23,cow_30fps_scaled_2RP_black.mp4,3.61,0.58
24,cow_30fps_scaled_3RP_black.mp4,3.94,0.26
25,cow_30fps_scaled_4RP_black.mp4,4.1,0.09
26,cow_30fps_scaled_1RP_black.mp4,3,1.19
27,cow_30fps_scaled_2RP_black.mp4,3.66,0.53
